,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12861,60,2,1,0.06,1,0
12862,49,3,6,0.35,1,0
12863,22,2,1,0.06,1,0
12864,30,3,1,0.06,1,0
12865,27,4,10,0.57,2,49
12866,35,2,2,0.4,1,7
12867,30,3,4,0.28,1,34
12868,15,1,3,0.17,1,0
12869,65,2,14,0.92,1,0
12870,37,5,2,0.12,1,0
12871,30,1,4,0.23,1,0
12872,64,2,8,0.61,2,0
12873,45,1,9,0.51,1,85
12876,59,1,4,0.24,1,0
12879,27,1,7,0.41,1,0
12880,30,2,2,0.11,1,0
12881,35,2,3,0.17,1,0
12882,50,5,3,0.2,1,0
12883,97,2,2,0.13,1,0
12884,80,8,5,0.31,1,173
12885,25,2,5,0.29,1,0
12886,22,2,5,0.32,2,0
12889,220,3,21,1.22,1,322
12890,55,3,63,3.6,1,24
12892,50,2,20,1.14,2,73
12893,20,1,1,0.06,1,0
12894,44,1,3,0.2,2,0
12895,59,4,17,1.04,1,46
12896,40,1,4,0.23,2,0
12897,50,5,4,0.23,1,38
12899,40,1,1,0.16,1,84
12900,27,1,37,2.09,2,0
12901,60,1,13,0.74,1,0
12902,120,2,1,1.0,3,0
12903,25,4,1,0.07,2,0
12904,35,2,7,0.41,1,0
12905,32,1,21,1.18,1,322
12906,45,2,11,0.64,1,4
12907,65,2,2,0.18,1,0
12908,60,2,1,0.06,3,0
12910,79,1,10,1.55,1,179
12911,100,2,62,3.52,1,268
12913,35,51,8,0.47,1,0
12915,20,1,57,3.33,1,39
12916,31,3,3,0.18,1,0
12917,32,150,1,0.19,5,226
12918,75,8,1,0.07,1,0
12919,50,1,14,0.8,1,4
12920,105,2,4,0.24,1,0
